frequency table
clock speed = 1843200.0
frequency: 418 hz, coarse = 1, fine = 20
frequency: 419 hz, coarse = 1, fine = 19
frequency: 420 hz, coarse = 1, fine = 18
frequency: 421 hz, coarse = 1, fine = 18
frequency: 422 hz, coarse = 1, fine = 17
frequency: 423 hz, coarse = 1, fine = 16
frequency: 424 hz, coarse = 1, fine = 16
frequency: 425 hz, coarse = 1, fine = 15
frequency: 426 hz, coarse = 1, fine = 14
frequency: 427 hz, coarse = 1, fine = 14
frequency: 428 hz, coarse = 1, fine = 13
frequency: 429 hz, coarse = 1, fine = 13
frequency: 430 hz, coarse = 1, fine = 12
frequency: 431 hz, coarse = 1, fine = 11
frequency: 432 hz, coarse = 1, fine = 11
frequency: 433 hz, coarse = 1, fine = 10
frequency: 434 hz, coarse = 1, fine = 9
frequency: 435 hz, coarse = 1, fine = 9
frequency: 436 hz, coarse = 1, fine = 8
frequency: 437 hz, coarse = 1, fine = 8
frequency: 438 hz, coarse = 1, fine = 7
frequency: 439 hz, coarse = 1, fine = 6
frequency: 440 hz, coarse = 1, fine = 6
frequency: 441 hz, coarse = 1, fine = 5
frequency: 442 hz, coarse = 1, fine = 5
frequency: 443 hz, coarse = 1, fine = 4
frequency: 444 hz, coarse = 1, fine = 3
frequency: 445 hz, coarse = 1, fine = 3
frequency: 446 hz, coarse = 1, fine = 2
frequency: 447 hz, coarse = 1, fine = 2
frequency: 448 hz, coarse = 1, fine = 1
frequency: 449 hz, coarse = 1, fine = 1
frequency: 450 hz, coarse = 1, fine = 0
frequency: 451 hz, coarse = 0, fine = 255
frequency: 452 hz, coarse = 0, fine = 255
frequency: 453 hz, coarse = 0, fine = 254
frequency: 454 hz, coarse = 0, fine = 254
frequency: 455 hz, coarse = 0, fine = 253
frequency: 456 hz, coarse = 0, fine = 253
frequency: 457 hz, coarse = 0, fine = 252
frequency: 458 hz, coarse = 0, fine = 252
frequency: 459 hz, coarse = 0, fine = 251
frequency: 460 hz, coarse = 0, fine = 250
frequency: 461 hz, coarse = 0, fine = 250
